ODATEDW,OSOURCE,TCODE,STATE,ZIP,MAILCODE,PVASTATE,DOB,NOEXCH,RECINHSE,RECP3,RECPGVG,RECSWEEP,MDMAUD,DOMAIN,CLUSTER,AGE,AGEFLAG,HOMEOWNR,CHILD03,CHILD07,CHILD12,CHILD18,NUMCHLD,INCOME,GENDER,WEALTH1,HIT,MBCRAFT,MBGARDEN,MBBOOKS,MBCOLECT,MAGFAML,MAGFEM,MAGMALE,PUBGARDN,PUBCULIN,PUBHLTH,PUBDOITY,PUBNEWFN,PUBPHOTO,PUBOPP,DATASRCE,MALEMILI,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,SOLP3,SOLIH,MAJOR,WEALTH2,GEOCODE,COLLECT1,VETERANS,BIBLE,CATLG,HOMEE,PETS,CDPLAY,STEREO,PCOWNERS,PHOTO,CRAFTS,FISHER,GARDENIN,BOATS,WALKER,KIDSTUFF,CARDS,PLATES,LIFESRC,PEPSTRFL,POP901,POP902,POP903,POP90C1,POP90C2,POP90C3,POP90C4,POP90C5,ETH1,ETH2,ETH3,ETH4,ETH5,ETH6,ETH7,ETH8,ETH9,ETH10,ETH11,ETH12,ETH13,ETH14,ETH15,ETH16,AGE901,AGE902,AGE903,AGE904,AGE905,AGE906,AGE907,CHIL1,CHIL2,CHIL3,AGEC1,AGEC2,AGEC3,AGEC4,AGEC5,AGEC6,AGEC7,CHILC1,CHILC2,CHILC3,CHILC4,CHILC5,HHAGE1,HHAGE2,HHAGE3,HHN1,HHN2,HHN3,HHN4,HHN5,HHN6,MARR1,MARR2,MARR3,MARR4,HHP1,HHP2,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,HV1,HV2,HV3,HV4,HU1,HU2,HU3,HU4,HU5,HHD1,HHD2,HHD3,HHD4,HHD5,HHD6,HHD7,HHD8,HHD9,HHD10,HHD11,HHD12,ETHC1,ETHC2,ETHC3,ETHC4,ETHC5,ETHC6,HVP1,HVP2,HVP3,HVP4,HVP5,HVP6,HUR1,HUR2,RHP1,RHP2,RHP3,RHP4,HUPA1,HUPA2,HUPA3,HUPA4,HUPA5,HUPA6,HUPA7,RP1,RP2,RP3,RP4,MSA,ADI,DMA,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IC21,IC22,IC23,HHAS1,HHAS2,HHAS3,HHAS4,MC1,MC2,MC3,TPE1,TPE2,TPE3,TPE4,TPE5,TPE6,TPE7,TPE8,TPE9,PEC1,PEC2,TPE10,TPE11,TPE12,TPE13,LFC1,LFC2,LFC3,LFC4,LFC5,LFC6,LFC7,LFC8,LFC9,LFC10,OCC1,OCC2,OCC3,OCC4,OCC5,OCC6,OCC7,OCC8,OCC9,OCC10,OCC11,OCC12,OCC13,EIC1,EIC2,EIC3,EIC4,EIC5,EIC6,EIC7,EIC8,EIC9,EIC10,EIC11,EIC12,EIC13,EIC14,EIC15,EIC16,OEDC1,OEDC2,OEDC3,OEDC4,OEDC5,OEDC6,OEDC7,EC1,EC2,EC3,EC4,EC5,EC6,EC7,EC8,SEC1,SEC2,SEC3,SEC4,SEC5,AFC1,AFC2,AFC3,AFC4,AFC5,AFC6,VC1,VC2,VC3,VC4,ANC1,ANC2,ANC3,ANC4,ANC5,ANC6,ANC7,ANC8,ANC9,ANC10,ANC11,ANC12,ANC13,ANC14,ANC15,POBC1,POBC2,LSC1,LSC2,LSC3,LSC4,VOC1,VOC2,VOC3,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,HC9,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20,HC21,MHUC1,MHUC2,AC1,AC2,ADATE_2,ADATE_3,ADATE_4,ADATE_5,ADATE_6,ADATE_7,ADATE_8,ADATE_9,ADATE_10,ADATE_11,ADATE_12,ADATE_13,ADATE_14,ADATE_15,ADATE_16,ADATE_17,ADATE_18,ADATE_19,ADATE_20,ADATE_21,ADATE_22,ADATE_23,ADATE_24,RFA_2,RFA_3,RFA_4,RFA_5,RFA_6,RFA_7,RFA_8,RFA_9,RFA_10,RFA_11,RFA_12,RFA_13,RFA_14,RFA_15,RFA_16,RFA_17,RFA_18,RFA_19,RFA_20,RFA_21,RFA_22,RFA_23,RFA_24,CARDPROM,MAXADATE,NUMPROM,CARDPM12,NUMPRM12,RDATE_3,RDATE_4,RDATE_5,RDATE_6,RDATE_7,RDATE_8,RDATE_9,RDATE_10,RDATE_11,RDATE_12,RDATE_13,RDATE_14,RDATE_15,RDATE_16,RDATE_17,RDATE_18,RDATE_19,RDATE_20,RDATE_21,RDATE_22,RDATE_23,RDATE_24,RAMNT_3,RAMNT_4,RAMNT_5,RAMNT_6,RAMNT_7,RAMNT_8,RAMNT_9,RAMNT_10,RAMNT_11,RAMNT_12,RAMNT_13,RAMNT_14,RAMNT_15,RAMNT_16,RAMNT_17,RAMNT_18,RAMNT_19,RAMNT_20,RAMNT_21,RAMNT_22,RAMNT_23,RAMNT_24,RAMNTALL,NGIFTALL,CARDGIFT,MINRAMNT,MINRDATE,MAXRAMNT,MAXRDATE,LASTGIFT,LASTDATE,FISTDATE,NEXTDATE,TIMELAG,AVGGIFT,CONTROLN,TARGET_B,TARGET_D,HPHONE_D,RFA_2R,RFA_2F,RFA_2A,MDMAUD_R,MDMAUD_F,MDMAUD_A,CLUSTER2,GEOCODE2
8601,DRK,0,TX,78727, , ,5108,0, , , , ,XXXX,S2,18,46.0,E,H, ,M,M, ,3.0,5.0,F,7.0,12,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3,0,23,66,0,5,8,2, , , ,6.0,12, , , , , ,Y,Y, ,Y, , , ,Y, , , , , ,2,X,2729,713,882,99,0,0,50,50,71,13,0,6,17,0,0,2,0,0,3,0,14,0,0,3,28,33,35,26,36,38,34,46,38,16,11,42,30,10,4,2,1,17,21,35,17,10,5,1,4,13,26,61,38,14,5,62,12,2,24,249,308,98,96,0,1,1,0,0,0,0,651,667,5,5,75,25,91,9,1,56,81,65,45,89,11,11,3,8,13,10,7,21,48,2,4,8,1,0,0,3,20,91,0,1,54,53,56,17,5,1,0,1,24,1,0,0,59,86,95,98,640.0,203.0,635.0,372,394,411,435,13244,9,11,24,30,19,4,2,0,0,3,13,26,31,20,4,3,0,0,6,5,37,4,63,37,11,86,10,0,0,0,0,1,1,2,0,5,19,21,2,67,90,94,85,93,81,82,70,64,99,6,10,18,9,14,17,0,0,7,0,12,8,1,4,1,1,4,21,4,4,7,17,8,5,1,1,5,9,8,6,5,8,2,3,78,4,0,130,6,11,27,26,8,18,4,3,27,4,21,5,0,0,0,12,23,1,66,4,0,31,1,4,1,8,0,0,6,2,0,0,0,0,1,3,0,8,57,82,10,7,2,96,71,13,3,9,1,31,73,99,99,0,0,0,89,2,9,0,0,0,99,0,94,99,97,8,3,2,2,9706,9606.0,9604.0,,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9508.0,9507.0,9506.0,9504.0,9503.0,9502.0,9501.0,9411.0,9411.0,9410.0,9409.0,9407.0,9406.0,L1E,A1E,A1E, ,A1E,S2E,S2E,S2E,S3E,S3E,S3E,S3E,S3E,S3E,S3E,S3E,S3E,S4E,S3E,S3E,S3E,S4E,S4D,32,9702,69,5,10,,,,,,,,,,,,,,9505.0,,,,,9411.0,,,9407.0,,,,,,,,,,,,,,10.0,,,,,10.0,,,7.0,138.0,24,13,2.0,8802,10.0,9404,10.0,9505,8612,8703.0,3.0,5.75,127120,0,0.0,1,L,1,E,X,X,X,20.0,B
9001,DCD,1,CA,93401, , ,1401,0, , , , ,XXXX,C1,24,84.0,E,U, , , , ,,5.0,M,,0,,,,,,,,,,,,,,,2,0,35,19,50,15,16,4, , , ,7.0,14, , , , , , , , , , , , , , , , , , , ,X,868,218,316,99,0,0,51,49,95,0,1,3,7,1,0,0,0,1,0,0,5,0,0,2,35,41,46,37,44,49,20,35,42,23,20,15,22,16,11,10,6,11,19,30,23,17,25,7,23,19,34,47,30,9,3,56,9,5,30,191,272,89,84,2,10,8,6,1,0,1,2589,2741,6,7,77,23,93,7,4,31,69,62,27,76,24,4,2,2,16,17,12,16,63,16,0,0,0,80,92,98,99,99,35,5,58,57,58,15,4,4,6,0,16,3,4,0,72,82,94,99,7460.0,17.0,855.0,424,448,534,574,18735,9,9,15,25,21,10,6,3,3,3,12,9,26,27,13,3,3,3,39,8,67,11,57,43,9,65,16,0,0,0,0,4,10,6,4,4,11,16,2,32,56,61,51,59,47,57,43,75,99,3,24,14,5,21,12,0,2,6,0,5,5,2,4,0,0,2,13,0,2,9,16,8,3,0,5,2,20,12,10,15,16,4,10,50,5,0,140,1,9,26,17,9,17,21,4,34,5,11,22,0,0,0,17,35,0,19,3,50,18,1,3,0,12,0,0,4,1,2,2,1,1,2,1,0,7,61,88,3,2,7,95,77,32,5,27,18,40,40,49,63,37,5,0,98,0,2,0,0,0,99,0,99,99,99,15,2,7,10,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,,9509.0,9508.0,9507.0,9506.0,,9503.0,9502.0,9412.0,9411.0,9411.0,9410.0,9409.0,,9406.0,L1F,A1F,A1F,A1F,A2F,A2F,A2F,A1F, ,A1F,A1F,A1F,A1F, ,A1F,L1F,L1F,L1F,L1F,L1F,L1F, ,L1F,23,9702,59,6,13,,,,,,,,,,9509.0,,,,,,,9501.0,,,,,,,,,,,,,,,20.0,,,,,,,20.0,,,,,,115.0,8,4,5.0,9002,20.0,9501,20.0,9509,9002,9012.0,10.0,14.375,160123,0,0.0,1,L,1,F,X,X,X,11.0,C
9401,DCD,0,FL,33761-, , ,6902,0, , , , ,XXXX,S2,20,29.0,I, , , , , ,,,M,,0,,,,,,,,,,,,,,, ,2,34,24,24,2,2,2, , , ,5.0, , , , , , , , , , , , , , , , , , , , ,X,5781,1761,2764,99,0,0,46,54,98,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,48,57,60,48,55,57,15,34,39,27,7,13,16,10,13,22,19,13,15,29,26,17,50,19,47,32,46,23,12,4,1,63,10,12,15,140,209,34,31,1,33,32,30,0,0,0,859,1153,5,5,78,22,81,19,58,18,64,56,14,79,21,4,1,3,13,27,5,11,46,41,0,0,0,18,28,35,62,94,0,3,23,44,48,12,4,13,20,32,4,2,13,2,39,76,89,96,8280.0,131.0,539.0,249,325,313,379,14738,25,25,17,17,10,4,2,1,0,12,23,22,22,12,5,2,1,0,51,2,58,4,59,41,32,84,9,2,2,0,0,0,4,2,2,13,19,24,4,65,47,52,43,52,41,64,41,97,99,1,14,19,4,20,17,0,2,8,0,8,2,1,3,0,0,5,9,5,2,5,28,15,4,4,1,9,3,9,2,5,1,1,5,84,4,0,120,7,16,34,22,5,12,5,1,18,1,12,6,0,0,0,20,43,3,18,14,58,5,0,6,2,13,1,0,7,5,0,2,0,0,2,1,0,5,9,94,1,0,5,94,37,7,5,12,2,14,40,87,96,4,12,8,1,6,92,1,0,0,99,1,96,99,98,9,3,6,7,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9511.0,9509.0,9508.0,9507.0,9506.0,9504.0,9503.0,9502.0,9501.0,9411.0,9411.0,9410.0,9409.0,,9406.0,L2G,A3G,A3G,A3G,A2G,A3G,A3G,A3G,A3G,A3G,A3G,A2G,A2G,A1G,A1G,L1F,L1F,N1F,N1F,N1F,N1F, ,N1F,16,9702,40,6,13,,,,,,9601.0,,,,,,9506.0,,,9503.0,,,9411.0,,,,,,,,,,25.0,,,,,,25.0,,,20.0,,,30.0,,,,,120.0,5,2,20.0,9503,30.0,9411,25.0,9601,9310,9411.0,13.0,24.0,45562,0,0.0,0,L,2,G,X,X,X,27.0,A
9501,ADD,0,FL,32244, , ,0,0, , , , ,XXXX,S2,18,, , , , , , ,,, ,,0,,,,,,,,,,,,,,, ,16,39,46,18,6,2,11, , , ,, , , , , , , , , , , , , , , , , , , , , ,2734,729,1187,99,0,0,51,49,89,8,0,3,4,0,0,0,1,0,0,0,2,1,0,1,27,30,35,30,36,41,22,58,29,12,24,37,14,10,8,6,2,27,21,28,13,11,11,4,10,28,38,34,17,6,1,55,16,3,25,159,230,12,8,2,49,47,42,0,0,0,677,761,4,4,43,57,89,11,0,30,61,49,22,76,24,8,2,7,23,20,11,17,62,9,2,6,0,1,3,17,36,88,0,5,16,41,44,13,5,17,32,38,3,6,38,9,18,54,88,97,3600.0,335.0,561.0,258,278,282,300,11699,20,27,26,19,6,2,0,0,0,17,23,31,19,9,1,0,0,0,13,4,28,7,67,33,30,80,16,0,0,0,0,1,3,1,3,15,20,23,1,74,81,88,73,85,65,54,40,83,99,5,9,10,3,17,23,0,1,13,2,10,3,4,6,1,0,5,9,3,4,8,23,8,5,2,6,7,4,5,11,6,4,11,1,76,2,0,122,3,13,33,24,7,17,3,4,14,3,11,4,12,21,3,24,36,12,20,13,19,43,1,5,1,16,0,0,12,2,0,0,0,0,0,0,0,4,32,94,2,2,3,98,51,8,1,10,6,29,63,90,98,2,3,1,2,21,77,0,0,0,98,2,98,99,91,8,2,4,4,9706,,,,9603.0,,9512.0,9509.0,,,9508.0,,,,9503.0,,9412.0,,,,9408.0,,,L3E, , , ,N2E, ,N2E,N2E, , ,N2E, , , ,F1D, ,F1D, , , ,P1D, , ,6,9702,13,2,6,,,,,,9602.0,9512.0,,,,,,,,,9504.0,,,,9410.0,,,,,,,,11.0,10.0,,,,,,,,,10.0,,,,5.0,,,36.0,4,3,5.0,9410,11.0,9602,11.0,9602,9410,9504.0,6.0,9.0,187503,0,0.0,0,L,3,E,X,X,X,24.0,B
8901,PBL,0,IL,60429-, , ,704,0,X, , , ,XXXX,S2,16,91.0, , , , , , ,,1.0,F,5.0,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,43,44,20,7,1,7, , , ,5.0, , , , , , , , , , , , , , , , , , , , , ,5361,1270,1496,99,0,0,46,54,42,55,0,2,3,1,0,0,0,0,0,0,2,0,0,1,30,39,42,32,43,47,32,32,44,25,15,22,25,15,9,5,9,12,13,33,25,17,18,7,14,13,21,66,48,25,11,51,11,9,29,289,343,85,85,0,15,15,15,3,3,0,668,671,10,9,88,12,88,12,1,56,85,63,41,90,10,15,3,12,8,14,2,7,25,10,18,35,2,0,0,1,20,93,0,2,70,63,61,19,5,0,15,0,5,0,6,0,92,93,96,97,1600.0,51.0,602.0,422,438,441,462,12597,7,10,15,34,26,7,1,0,0,3,8,17,35,29,7,1,0,0,27,4,35,4,48,52,8,68,15,15,2,12,1,0,1,1,3,4,32,37,19,62,73,83,65,73,58,78,59,82,99,4,10,10,4,9,29,0,2,10,0,13,4,5,4,1,0,6,13,9,4,5,14,12,4,2,2,12,8,6,3,5,5,4,3,76,8,0,126,6,10,30,30,11,10,4,4,27,2,22,8,1,1,0,13,29,0,49,26,14,6,0,0,0,5,0,0,5,1,0,2,0,0,0,1,0,4,75,93,3,1,2,92,61,18,5,23,0,0,0,36,88,12,0,1,92,1,7,0,0,0,99,1,98,99,99,8,3,6,3,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9509.0,,9506.0,,9503.0,9502.0,9501.0,9411.0,9411.0,9410.0,9409.0,9407.0,9406.0,L1G,A1G,A1G,A1G,A1G,A1E,A1E,A1E,A1E,A1E,A1E, ,A1E, ,A1E,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,21,9702,57,4,8,,,,,,,,,,,,,,,9512.0,,,,9411.0,,,,,,,,,,,,,,,,,,25.0,,,,10.0,,,,130.0,10,3,3.0,9005,30.0,9312,25.0,9512,8909,9005.0,8.0,13.0,190951,0,0.0,0,L,1,G,X,X,X,22.0,A
8601,ASC,1,GA,30349, , ,3001,0,X, , , ,L1CM,S2,17,68.0,E,H, , , , ,,5.0,M,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,29,46,10,8,6,8, ,12,X,7.0, , , , , , , , , , , , , , , , , , , , ,X,2849,695,1119,99,0,0,46,54,11,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,36,38,30,38,42,29,35,40,25,16,28,31,11,8,4,2,13,15,33,20,19,8,3,7,32,24,44,26,11,4,39,19,5,37,174,254,44,36,1,50,49,48,0,0,0,680,684,5,5,55,45,91,9,1,40,62,35,21,79,21,19,2,17,20,26,6,1,7,3,23,62,3,0,1,2,26,92,0,6,45,53,52,14,4,14,36,0,7,1,35,0,32,68,91,99,520.0,197.0,524.0,311,353,346,403,13393,20,19,19,18,21,2,0,1,0,8,20,22,19,27,3,0,1,0,12,4,20,7,50,50,19,72,14,10,6,4,0,0,3,1,1,34,24,30,7,75,79,81,78,78,73,86,47,99,99,1,10,14,4,10,31,0,3,11,0,5,4,4,4,0,0,3,11,16,5,6,13,10,6,7,0,3,9,3,10,8,6,8,4,72,2,0,130,4,10,30,28,8,11,10,7,24,2,23,5,1,2,0,14,29,3,46,5,10,32,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,57,95,1,1,3,86,42,10,4,21,0,4,7,42,94,6,13,11,49,6,45,0,0,0,99,1,99,99,98,6,3,5,3,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9509.0,9507.0,9506.0,9504.0,9503.0,9502.0,9501.0,9411.0,9411.0,9410.0,9409.0,9407.0,9406.0,L1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,S2G,S2G,S2G,S2G,S2F,S2F,S3F,S3F,S3F,S3F,S2F,S2F,33,9702,100,6,31,,,,,,,,,,9511.0,,,,,,,,9412.0,,,,,,,,,,,,,,100.0,,,,,,,,25.0,,,,,520.0,26,14,10.0,9209,100.0,9511,100.0,9608,8609,8612.0,3.0,20.0,14505,0,0.0,1,L,1,G,L,1,C,25.0,A
9001,D02,0,MI,48079, , ,3801,0, , , , ,XXXX,T2,36,60.0,E,U, , , , ,1.0,2.0,F,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,29,37,28,11,1,3, , , ,3.0, , , ,Y, , , ,Y,Y,Y, ,Y,Y,Y, ,Y, , , ,2, ,1369,380,536,99,0,0,46,54,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,44,36,46,49,27,42,39,19,11,24,19,11,12,11,11,18,17,36,15,14,31,15,30,26,31,43,25,10,3,59,8,11,22,177,255,72,67,8,28,19,11,0,0,0,634,660,3,3,65,35,97,3,0,35,71,57,28,86,14,6,0,6,11,26,3,23,56,21,0,0,0,0,3,7,28,73,0,2,53,56,56,14,4,25,3,0,12,12,11,0,11,28,61,95,2160.0,57.0,505.0,268,292,330,355,13681,21,22,19,26,6,3,4,0,0,15,16,28,25,8,4,4,0,0,39,4,57,5,38,62,10,83,4,0,0,0,0,0,12,1,0,22,16,21,6,47,63,75,55,69,55,77,64,73,0,4,25,16,0,10,15,0,0,9,0,12,5,5,3,0,0,7,12,4,6,2,23,5,2,2,0,15,11,7,5,11,1,3,3,62,19,1,120,6,10,34,14,9,13,13,2,29,3,18,10,0,0,0,12,29,0,37,12,28,6,0,2,3,17,0,1,2,2,0,5,0,0,1,2,0,3,75,94,1,0,5,90,41,9,11,48,2,2,7,7,7,93,0,0,85,0,10,4,0,1,99,0,99,99,98,7,3,7,5,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9509.0,9510.0,9511.0,9510.0,9507.0,9506.0,9504.0,9503.0,9502.0,9501.0,9411.0,9411.0,9410.0,9409.0,,,L1F,A1F,A1F,A1F,L2F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A2F,A2F,A2F,A1E,A1E,A1E,A1E,A1E,A1E, , ,22,9702,59,6,15,,,,,,9602.0,,,,,,,,,,,,,,9412.0,,,,,,,,20.0,,,,,,,,,,,,,,20.0,,,74.0,6,4,5.0,9001,20.0,9412,20.0,9602,9001,9005.0,4.0,12.333333333,65524,0,0.0,1,L,1,F,X,X,X,38.0,A
9401,CFI,0,MI,49442, , ,5201,0, , , , ,XXXX,C3,31,46.0,E,U, , , , ,,2.0,F,0.0,7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,22,37,15,10,8,1, , , ,, , ,Y, , , , , , , , , , , , , , , , ,1, ,1639,237,826,99,0,0,45,55,76,21,1,0,4,0,0,0,0,0,0,0,3,0,0,1,32,35,42,39,43,49,12,54,32,15,22,26,16,7,5,10,13,31,14,24,12,19,28,23,27,61,26,13,5,1,0,20,18,15,46,82,158,2,1,0,98,98,94,20,19,1,625,595,3,3,1,99,85,15,1,15,29,16,6,37,63,8,1,8,30,45,10,5,48,22,5,15,1,0,0,0,0,80,0,8,2,28,33,10,4,9,89,0,1,4,93,0,0,1,52,75,3000.0,59.0,563.0,127,164,154,184,9346,56,27,13,5,0,0,0,0,0,48,21,27,3,0,0,0,0,0,31,12,23,28,72,28,10,77,15,2,2,0,0,0,6,0,1,22,15,19,0,52,51,57,47,53,43,55,19,72,0,17,4,7,7,12,20,0,4,14,0,8,17,0,7,0,0,4,32,2,1,1,26,4,0,2,0,16,6,0,6,10,8,1,1,74,6,0,120,28,16,26,19,4,6,1,2,14,2,6,7,1,1,0,11,22,2,37,7,15,40,5,4,0,8,0,0,1,0,1,2,0,0,0,1,0,2,77,96,2,1,1,82,20,2,2,18,0,0,0,0,0,99,0,4,93,0,3,0,0,3,99,0,99,99,92,0,3,2,4,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9509.0,9507.0,9506.0,,9503.0,9502.0,9412.0,9411.0,9411.0,9410.0,9409.0,,9406.0,L1G,A1G,A1G,A2G,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F, ,L1E,N1E,N1E,N1E,N1E,N1E,N1E, ,F1E,15,9702,35,6,13,,,,,,,,,,,9512.0,,,,9502.0,,,,,,,,,,,,,,,,,,25.0,,,,20.0,,,,,,,,55.0,3,2,10.0,9311,25.0,9512,25.0,9512,9311,9502.0,15.0,18.333333333,73392,0,0.0,1,L,1,G,X,X,X,48.0,C
9501,CWR,2,CA,94063,B, ,0,0, , , , ,XXXX,S2,17,, , , , , , ,,,F,,0,,,,,,,,,,,,,,, ,3,12,15,43,1,0,1, , , ,, , , , , , , , , , , , , , , , , , , , , ,2355,461,861,99,0,0,53,47,73,5,0,10,56,1,1,1,2,0,2,0,44,1,0,10,27,33,38,31,40,45,27,52,32,16,22,31,16,9,6,8,8,23,21,27,14,15,27,16,25,37,24,39,27,18,11,43,15,7,35,153,264,15,11,2,83,81,75,1,0,1,2250,2317,6,6,8,92,92,8,4,33,54,35,20,72,28,12,5,8,25,27,9,16,44,12,1,4,0,68,86,96,96,99,14,41,4,27,28,13,9,24,59,0,8,8,74,0,72,84,90,96,7360.0,65.0,807.0,227,243,277,274,10164,28,28,21,6,15,2,0,0,0,26,26,29,6,13,0,0,0,0,26,17,20,24,63,37,27,61,7,6,6,1,0,1,22,2,0,28,19,23,2,73,62,79,42,75,38,40,35,79,0,7,7,7,4,7,14,2,0,27,4,14,9,1,4,4,0,13,17,4,3,7,28,0,7,5,0,1,1,9,1,1,0,1,5,92,2,0,120,22,20,23,15,9,5,6,2,26,1,20,6,1,3,0,7,12,1,15,7,43,28,0,1,1,2,0,0,2,0,0,0,2,0,0,0,0,53,29,38,48,7,8,76,32,3,4,24,0,5,21,21,21,79,0,1,71,2,24,0,1,1,99,0,99,99,98,10,3,2,2,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,,9509.0,9508.0,9507.0,9506.0,,,9501.0,9412.0,,,,,,,L3E,A3E,A3E,A3E,N4E,N2E,N2E,N1E, ,N1E,N1E,F1E,F1E, , ,P1E,P1E, , , , , , ,11,9702,24,6,12,,,,,,,9512.0,,9510.0,9509.0,,,,,,9501.0,,,,,,,,,,,,,12.0,,10.0,12.0,,,,,,10.0,,,,,,,44.0,4,2,10.0,9510,12.0,9509,12.0,9512,9501,9509.0,8.0,11.0,162610,0,0.0,0,L,3,E,X,X,X,25.0,A
9001,PV3,0,OK,73075, , ,0,0, , , , ,XXXX,R2,45,, , , , , , ,,,F,,0,,,,,,,,,,,,,,, ,0,28,28,41,5,15,1, , , ,3.0, , , ,Y, , , , , , , , , , , , , , , ,1,X,8230,2205,3231,0,74,26,47,53,87,4,8,0,2,0,0,0,0,0,0,0,2,0,0,0,35,45,50,39,49,52,25,35,42,23,11,20,17,13,13,13,14,14,14,34,23,16,35,17,33,30,34,36,21,7,2,56,12,12,20,159,237,83,82,2,9,7,5,7,7,0,365,429,2,2,68,32,87,13,1,33,68,54,24,79,21,9,1,8,11,26,2,16,47,23,1,2,1,1,1,5,10,30,0,2,37,49,51,13,4,7,2,7,22,3,4,2,0,3,13,47,0.0,263.0,650.0,181,254,247,300,10249,42,19,16,13,6,1,1,0,0,28,21,21,18,8,2,2,0,1,36,10,31,21,40,60,5,83,12,0,0,0,0,0,2,3,0,13,13,20,7,38,53,62,45,56,43,63,48,57,99,10,13,9,2,12,12,0,1,17,4,14,6,7,2,6,5,6,11,4,3,4,17,6,3,3,1,7,13,6,5,6,15,1,12,59,5,2,120,16,18,32,18,3,8,5,1,23,2,19,3,0,0,0,14,28,1,29,16,42,9,1,5,0,4,0,0,8,1,0,0,0,0,0,0,0,0,76,98,1,0,1,90,54,14,8,33,1,6,16,35,47,53,0,0,65,10,21,0,0,4,94,6,78,99,87,9,2,6,7,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9508.0,9507.0,9506.0,9504.0,9503.0,9502.0,9501.0,9411.0,9411.0,9410.0,9409.0,9407.0,9406.0,L1F,A1F,A1F,A1F,A1F,S2G,S2G,S2G,S2G,S2G,S2G,S2G,S2G,S3G,S3G,S2E,S2E,S2E,S2E,S2E,S2E,S2E,A1E,25,9702,56,6,13,,,,,,,,,9511.0,,,,,,,,,9412.0,9411.0,,,,,,,,,,,,15.0,,,,,,,,,30.0,11.0,,,,111.0,9,5,3.0,8910,30.0,9412,15.0,9511,8910,9003.0,5.0,12.333333333,112950,0,0.0,0,L,1,F,X,X,X,59.0,D
